"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints7","timepoints10","timepoints11","timepoints12","timepoints13"
"SOX2-OT",-0.0465498911280647,0.0684867553293735,0.349614151375638,-0.0375382954829125,0.207931379115064,0.384621951176542,-0.213749512443959,5.88803235438131,-0.213749512443959,-0.213749512443959,-0.213749512443959
"SOX21",-0.0414972810075106,-0.0414972810075106,-0.0414972810075106,-0.0414972810075106,-0.0414972810075106,-0.0414972810075106,-0.0414972810075106,3.20258931119688,-0.0414972810075106,-0.0414972810075106,-0.0414972810075106
"SOX21-AS1",-0.0392115505033875,-0.0392115505033875,-0.0392115505033875,-0.0392115505033875,-0.0392115505033875,-0.0392115505033875,-0.0392115505033875,1.02816779118797,-0.0392115505033875,-0.0392115505033875,-0.0392115505033875
"SOX3",-0.276646683184545,0.305877663469578,0.0577410903613369,0.205946262091082,-0.131971161586357,0.00732842243369425,0.502557636744115,0.0706089087321512,0.335387571475464,1.54711525456219,-0.139924888368417
"SP2-AS1",1.32352360559301,0.0368634567928994,0.189616975440327,-0.122555793474827,-0.122555793474827,-0.122555793474827,-0.122555793474827,-0.122555793474827,-0.122555793474827,-0.122555793474827,-0.122555793474827
"SPACA6",0.13076402953048,-0.0196794010706001,-0.122609472057132,-0.198034179546049,-0.274362325544845,0.0581182071467917,0.327635007832518,0.0928874172376814,-0.292163822017082,-0.292163822017082,-0.172302258979689
"SPACA7",-0.0169436795313079,-0.0169436795313079,-0.0169436795313079,-0.0169436795313079,-0.0169436795313079,-0.0169436795313079,-0.0169436795313079,-0.0169436795313079,-0.0169436795313079,-0.0169436795313079,-0.0169436795313079
"SPAG5",-0.256472379327736,-0.215164411084378,-0.0269524550590087,0.0315216722793266,-0.232598484618482,-0.155166367288655,-0.0979298547275366,0.717193948385257,-0.256472379327736,-0.256472379327736,-0.256472379327736
"SPARC",-0.605198609398419,-0.950285772710969,-0.640638577397205,-0.663513075387119,-1.00457346602119,-0.809217118732338,-0.152437208938907,-0.746572474155783,-0.809605098385484,-1.24666403904535,-0.117566973868617
"SPARCL1",-0.497716066101622,-0.494415363626509,-0.420923897455492,-0.388053926960546,-0.442185261986479,-0.440248291623812,-0.290888068117066,-0.263306994757374,-0.321117172316014,-0.518411110799679,0.0842371054047801
"SPC25",-0.280329990201358,-0.100146756257884,-0.148471844372245,-0.162339678981723,-0.162519885280145,-0.281966794847385,-0.0105073432451818,1.68571335578683,-0.303385856710156,0.0983347486819263,-0.303385856710156
"SPDL1",-0.301242597323133,0.0535288218103048,-0.14683744714961,0.0902404697495977,-0.2496301760035,0.15038096588242,-0.401708537999629,0.180374029139207,-0.401708537999629,-0.310938674077576,0.00829529252880246
"SPECC1",-0.333349217554712,-0.209515931383964,-0.125442562537893,-0.25410199566439,-0.138977513755676,-0.310230173170306,-0.333349217554712,1.40400025033871,-0.292052339708593,0.570733573939542,-0.333349217554712
"SPIB",-0.0953581628697651,-0.0953581628697651,-0.0586826346904356,-0.0613916925756194,-0.0953581628697651,-0.0953581628697651,-0.0953581628697651,0.749661123227087,-0.0953581628697651,-0.0953581628697651,0.14590961341371
"SPINK2",-0.104809852439837,-0.104809852439837,-0.104809852439837,-0.104809852439837,-0.104809852439837,-0.104809852439837,-0.104809852439837,-0.104809852439837,-0.104809852439837,-0.104809852439837,-0.104809852439837
"SPINT2",0.658217714022633,0.356171927328782,0.357931076818736,0.549992410266739,0.577566569623234,0.69208244572495,0.615953013638985,-0.764156413469226,0.0112752651519055,0.322015743725389,0.545333114553985
"SPON1",0.00666000498421569,-0.0980164641649421,-0.191089854704514,-0.209437513059479,0.18741209982023,0.0509981761053278,0.435605137539512,0.39777196093473,0.0627828805149442,-0.0927022429365094,-0.37921218818225
"SPRR1A",-0.0339100115305108,-0.0339100115305108,-0.0339100115305108,-0.0339100115305108,-0.0339100115305108,-0.0339100115305108,-0.0339100115305108,-0.0339100115305108,-0.0339100115305108,-0.0339100115305108,-0.0339100115305108
"SPRR3",-0.0254394019786481,0.0897955336762789,-0.0254394019786481,-0.0254394019786481,-0.0254394019786481,-0.0254394019786481,-0.0254394019786481,-0.0254394019786481,-0.0254394019786481,-0.0254394019786481,-0.0254394019786481
"SPTA1",-0.00198936074969464,-0.153124100189849,-0.120333111446082,-0.128948110495547,-0.153124100189849,-0.123961965775037,-0.153124100189849,0.455618034262384,-0.153124100189849,-0.153124100189849,-0.153124100189849
"SRGAP2-AS1",-0.0381070072060608,0.0142610735865469,-0.0381070072060608,-0.0381070072060608,-0.0381070072060608,-0.0381070072060608,-0.0381070072060608,-0.0381070072060608,-0.0381070072060608,-0.0381070072060608,-0.0381070072060608
"SRRM4",-0.291569168708381,0.518143488741454,0.458259861787078,0.225101581004445,0.233851832663051,0.0456893531458863,0.778596896141724,1.94733198615827,-0.0539568003601748,-0.02353931007059,-0.318246302179312
"SRSF8",-0.196642832763324,0.00614562967445023,0.275989327012439,-0.00671632662574596,-0.0110049674670194,-0.272248203600229,0.0970617732055159,0.195214854589064,2.06164610907787,-0.630267030363469,0.313984277926715
"SSH1",-0.326660101775736,-0.114245639824139,-0.096212483164149,-0.122990353511397,-0.295268422881807,0.00509729876984197,-0.197954567106184,1.19407647883239,-0.326660101775736,0.331023536267579,-0.326660101775736
"SSR4",-0.18937822041796,0.130570812591761,-0.133318671336131,0.276598710651016,0.526680019408192,0.293029392690416,0.743755444067827,-0.615317749413707,-0.033393751575523,0.0278446156682352,0.906171905454721
