"","timepoints9","timepoints10","timepoints12","timepoints13","timepoints14","timepoints15"
"LHX3",-0.487707118970915,-0.307091374259123,-0.0470484523149303,0.0302832421257028,-0.373729357102959,0.199119692656193
"LILRA2",-0.122019004825089,-0.122019004825089,-0.112119990532548,-0.122019004825089,-0.0748162286385044,-0.122019004825089
"LILRB2",-0.225279410309226,-0.225279410309226,-0.123714067933618,-0.181620061936093,-0.182252457362368,-0.225279410309226
"LILRB3",-0.268265953190815,-0.268265953190815,-0.149425741914442,0.0142993379915935,-0.249406270908316,-0.268265953190815
"LILRB4",-0.182820626915208,-0.182820626915208,-0.162406131605154,-0.142107759505825,-0.182820626915208,-0.182820626915208
"LILRB5",-0.163567492796154,-0.0168860045359113,-0.150894046521541,-0.128698519922798,-0.163567492796154,-0.111055426807094
"LIM2",-0.0247549317288959,-0.0247549317288959,-0.0247549317288959,-0.0247549317288959,-0.0247549317288959,-0.0247549317288959
"LIN28B",-0.107445312969338,-0.107445312969338,-0.107445312969338,-0.107445312969338,-0.107445312969338,-0.107445312969338
"CYTOR",-0.149363760100197,-0.269441529936946,-0.251921088190589,-0.166033631587664,-0.26213573744384,-0.300087467815676
"LINC00184",-0.0420188914783639,-0.0420188914783639,-0.0420188914783639,-0.0420188914783639,-0.0420188914783639,-0.0420188914783639
"LINC00189",-0.0496883366600878,-0.0496883366600878,-0.0241433538389557,0.0168220979271514,-0.0496883366600878,-0.0496883366600878
"LINC00222",-0.0400723211715822,-0.0400723211715822,0.0967945758844185,-0.0400723211715822,-0.0400723211715822,-0.0400723211715822
"LINC00269",-0.0914067557823767,-0.0914067557823767,0.312550091195664,0.199390554068776,-0.0914067557823767,0.0135391248676173
"LINC00298",-0.0233555034404854,-0.0233555034404854,-0.0233555034404854,-0.0233555034404854,-0.0233555034404854,-0.0233555034404854
"LINC00332",-0.0273036766632665,-0.0273036766632665,-0.0273036766632665,-0.0273036766632665,-0.0273036766632665,-0.0273036766632665
"LINC00336",-0.0412217702172824,-0.0412217702172824,-0.0412217702172824,-0.0412217702172824,-0.0412217702172824,-0.0412217702172824
"LINC00337",-0.058539822899539,-0.058539822899539,-0.058539822899539,-0.058539822899539,0.444387168245438,-0.058539822899539
"PRECSIT",-0.0821465088571879,-0.0821465088571879,-0.0821465088571879,-0.0821465088571879,-0.0821465088571879,-0.0821465088571879
"LINC00396",-0.0363695824226705,-0.0363695824226705,-0.0363695824226705,-0.0363695824226705,-0.0363695824226705,-0.0363695824226705
