"","timepoints4","timepoints5","timepoints6","timepoints7","timepoints8","timepoints9","timepoints10","timepoints11","timepoints12","timepoints13","timepoints14","timepoints15"
"AKAP12",-0.141128614395484,-0.253724587202744,0.0610111598042273,0.726686904188055,-0.0975967175134492,-0.132900418378591,-0.14977911449747,0.645126153621044,-0.0979846534476501,0.0127354413070971,0.511694628280864,0.0338197973751094
"AKR1B15",-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878
"AKR1C6P",-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601
"ALAS2",-0.156005979368291,-0.28680029638992,-0.0691078195425783,-0.28680029638992,-0.28680029638992,-0.193045587904978,-0.241952259820948,-0.239422122845844,-0.181158793507895,-0.249429876916849,0.0943253067145418,-0.157562260422237
"ALDH1A1",0.502287720128787,0.863127480244384,0.604980437852802,-0.0332439222320462,-0.482036066355643,0.708386031966883,0.873555777976731,0.124719724186471,0.947406508694857,0.738689341405399,0.521844367307083,0.31808899714062
"ALDH1A2",-0.253682705237217,-0.393244722683222,-0.190022584810165,-0.336497682880608,-0.42456733888421,-0.416293579795168,-0.13314153566711,-0.341137887340944,-0.318015021101022,-0.3683986060757,-0.235630609412411,-0.193124350834515
"ALDH3A1",-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278
"ALOX12B",-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,0.10975176435921,-0.0629718393706684,-0.0629718393706684,0.600795178297077
"ALOX15",-0.190751742928007,-0.21293640860241,-0.21293640860241,-0.21293640860241,-0.21293640860241,-0.109388927630121,-0.21293640860241,-0.21293640860241,-0.206980108194096,-0.155434824539014,-0.21293640860241,-0.196504379497475
"ALOX5AP",-0.246982322893558,-0.228111831969363,-0.105132753011826,-0.182293793449156,-0.166912242891653,-0.205967798905598,-0.216009655183923,-0.148106633347259,-0.184796388431946,-0.231765698993311,-0.213125693130575,-0.229451925812801
"ALPK1",-0.19041940694335,-0.177578911439703,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.15360760895017,-0.174780438620038,-0.19041940694335
"FLACC1",-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.064750218226131,-0.121817281043756,-0.121434115903549,-0.0841457439386626
"JAML",-0.0790897853015794,-0.202571115303808,-0.281071845541082,-0.281071845541082,-0.124724957104387,-0.281071845541082,-0.269733925780414,-0.281071845541082,-0.219816523431809,-0.233451195965197,-0.266855242310505,-0.281071845541082
"AMPD1",-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,0.16652580022446,-0.0461920447132478
"ANGPT1",-0.0534410170176591,-0.500330553127399,-0.0198081554280432,-0.32542079097248,-0.285246032566017,-0.0951608774619365,-0.439810681920165,-0.545433887434034,-0.368690950996113,-0.409715989894534,-0.39528716819357,-0.429113217614371
"ANGPT2",-0.250956362288483,-0.20975004100645,-0.304393881333113,-0.240721491702097,-0.304393881333113,-0.252149730225754,-0.216924187214934,-0.304393881333113,-0.277397013802425,-0.278710300612696,-0.298815362660984,-0.304393881333113
"ANGPTL1",-0.282882020476638,-0.258309271510998,-0.289425716969793,-0.289425716969793,-0.289425716969793,-0.289425716969793,-0.259852828315251,-0.232210796666934,-0.289425716969793,-0.276931813273406,-0.289425716969793,-0.289425716969793
"ANGPTL4",-0.226929282065336,-0.268746396977308,-0.268746396977308,-0.0232630719201626,-0.268746396977308,-0.268746396977308,0.218223658501982,-0.268746396977308,-0.268746396977308,-0.228825104042417,-0.268746396977308,-0.268746396977308
"ANK1",-0.156681352967537,-0.16931670404394,-0.16931670404394,-0.16931670404394,-0.16931670404394,-0.16931670404394,-0.16931670404394,-0.0708882296501702,-0.116482864669459,-0.159211631269375,-0.16931670404394,-0.16931670404394
"ANKRD1",-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0246692789853656
"ANKRD19P",0.490079460304074,-0.146942070831422,-0.146942070831422,-0.146942070831422,-0.146942070831422,0.623831995361521,0.0199977549668576,1.33798604569041,-0.000851160232103171,0.0806828200267529,-0.0638722651050984,-0.146942070831422
"ANKRD34C",-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,0.549832606841973,-0.0630132532534247
"ANKRD50",-0.351839600758677,-0.104315501853784,-0.397357376611444,-0.354900062922867,-0.455052383552795,-0.24867101614085,0.391495939868205,0.0344320993360344,-0.250451870376904,-0.194455182017193,-0.455052383552795,-0.257763534082087
"ANKRD9",-0.132870054672532,-0.132870054672532,0.0480809220909571,-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.132870054672532,0.300021284998934,-0.0795348514366069,-0.132870054672532,-0.119982621700381,0.074083123948683
"ANKS4B",-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918
"ANLN",-0.209289625470977,-0.237602534045907,-0.237602534045907,-0.237602534045907,-0.0107194688073162,-0.19995158686689,-0.237602534045907,-0.237602534045907,-0.156082689194106,-0.0562044203674081,-0.217021504362299,-0.200481072285674
"ANXA1",-0.507588456258609,-0.627950315742699,-0.54996571971048,-0.554171105515751,-0.38705035874072,-0.578179494073008,-0.561268310484159,-0.477889958116762,-0.573832070604084,-0.447102530944798,-0.559447843411291,-0.443296724589325
"ANXA2",-0.601515580665825,-0.664418157198493,-0.790393326199133,-0.6381691726929,-0.735455723644851,-0.620393962831981,-0.601300963750827,-0.721442662511452,-0.586158572243439,-0.547597859612393,-0.667713158707371,-0.508697369491329
"ANXA2R",-0.125853363643615,-0.125853363643615,-0.125853363643615,-0.125853363643615,-0.0133163406016533,-0.125853363643615,-0.125853363643615,-0.125853363643615,-0.109531142544843,-0.125853363643615,0.125071979669908,-0.125853363643615
"ANXA3",-0.284805712766358,-0.284805712766358,-0.284805712766358,-0.0174886060914274,-0.284805712766358,-0.284805712766358,-0.210383261997725,-0.284805712766358,-0.187146827582382,-0.272282368822911,-0.274551161823468,0.0373756510905642
"APBB1IP",-0.226054389316592,-0.20303020256369,0.32099765528181,-0.130378414293894,-0.122058890037621,-0.226054389316592,-0.226054389316592,-0.226054389316592,-0.144142115715195,-0.192095578379116,-0.218510921050919,-0.226054389316592
"APBB2",1.08389002917837,0.927684153054225,1.11943208808712,1.63411852247249,1.21973652832303,0.437459446921492,1.05601125674037,1.33852299859654,0.971729335756529,0.838854135046508,0.936208434680205,1.00970781875848
"APCDD1L-DT",-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.046907061109834,0.799808091583866,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,0.0253785974052703
"APLNR",-0.087490840060173,-0.189601963616464,-0.189601963616464,-0.189601963616464,-0.189601963616464,-0.189601963616464,0.0982670672903508,-0.189601963616464,-0.0800088661364254,-0.176924996687073,-0.189601963616464,-0.189601963616464
"APOA2",-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795
"APOBEC3A",-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.11218907269889,1.91024874184089,-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.095062861851714,-0.11218907269889,-0.0994473958006711,-0.11218907269889
"APOBEC3D",-0.0850996735867721,-0.115605709016721,-0.115605709016721,-0.115605709016721,0.128851790229832,0.566661230498452,-0.115605709016721,-0.115605709016721,-0.028102253929642,-0.0974522616373156,-0.115605709016721,-0.0207557041838924
"APOBR",-0.164579104636091,-0.164579104636091,-0.164579104636091,-0.164579104636091,-0.0761506805104544,-0.164579104636091,-0.164579104636091,-0.164579104636091,-0.152514458426332,-0.148488616943941,-0.164579104636091,-0.140592162362726
