"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints10","timepoints12","timepoints13","timepoints14","timepoints15"
"MACC1",-0.175032980957804,-0.168575281653773,-0.184945733699689,-0.172487690950589,-0.184945733699689,-0.184945733699689,-0.184945733699689,-0.144395408428034,0.584727949128589,-0.0771661603363147
"MAD2L1",0.0648066433891762,-0.0599018828052779,-0.0934940749484736,0.0364999279187095,0.420015978148622,-0.350231263187715,-0.3631275013472,-0.341270845703479,-0.316429330632987,0.116918897651271
"MADCAM1",0.00223804547764585,-0.112582336674521,0.0659198110935978,-0.112582336674521,-0.112582336674521,-0.112582336674521,-0.112582336674521,-0.112582336674521,-0.112582336674521,-0.112582336674521
"MAF",-0.255531440395945,-0.354388031072887,-0.432133216679885,-0.38333209954077,-0.487869353581325,-0.471214667688669,-0.362987864226492,-0.343838249279171,-0.442396968800278,-0.487869353581325
"MAFB",-0.368374431673372,-0.377882255069507,-0.425378644931219,-0.415610965300133,-0.425378644931219,-0.299649312193947,-0.348342750091107,-0.27723712440912,-0.37638068470759,-0.260513287631333
"MAFF",-0.405556448238159,-0.329487774265716,-0.47007431758573,-0.0486006041845562,-0.600334976988755,-0.430574906553612,0.00485116907631322,0.114031799210725,0.231722228117473,-0.0927890315094619
"MAGEA8",-0.0242314401036275,-0.0242314401036275,-0.0242314401036275,-0.0242314401036275,-0.0242314401036275,-0.0242314401036275,-0.0242314401036275,-0.0242314401036275,-0.0242314401036275,-0.0242314401036275
"MAP1B",0.729924596070843,0.515376250533275,0.427651540992873,0.461596125391947,0.0827777863539576,0.263319043670528,0.433173120555643,0.217472882270492,0.0912280795243513,0.150666753833134
"MAP3K19",-0.0826261167934249,-0.0826261167934249,0.0551395289080751,-0.0826261167934249,-0.0826261167934249,-0.0826261167934249,-0.0826261167934249,-0.0826261167934249,-0.0826261167934249,-0.0826261167934249
"MAP7D2",-0.163462930041048,-0.239088390535247,-0.241136287953676,0.105799877263169,-0.241136287953676,-0.193663564147793,-0.070575354068228,-0.241136287953676,-0.241136287953676,0.709938523512281
"MBNL3",-0.13135633262638,0.312613306627174,-0.0401744670894352,-0.236469863101181,-0.275932359514123,-0.41031557751786,0.0528552419874287,-0.400675828161076,-0.41031557751786,-0.260079982815023
"MC2R",-0.0997021870298924,-0.0997021870298924,-0.0997021870298924,0.470615781230753,-0.0997021870298924,0.00953686348213623,-0.0997021870298924,-0.0997021870298924,-0.0997021870298924,-0.0997021870298924
