"","timepoints1","timepoints2","timepoints7","timepoints9"
"ADRA1B",-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145
"ADRA2C",-0.0538653995567496,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734
"AGAP1-IT1",-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973
"AGR2",-0.641301288557976,-0.688575631894561,-0.748210321311662,-0.748210321311662
"AGR3",-0.111827388629959,-0.212455149115508,-0.209283836406703,-0.381279626064275
"AGRP",-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209
"AGXT",-0.110335806208438,-0.167746450423339,-0.187148885763461,-0.187148885763461
"AHSP",-0.0557332345001604,-0.365021583742738,0.839189593880238,-0.365021583742738
"AIF1",-0.268716146957387,-0.445959085070614,-0.342618951272274,-0.0790371315639074
"AIM2",-0.170052784744033,-0.151701013450425,-0.170052784744033,-0.170052784744033
"AJAP1",-0.102382763325236,-0.102382763325236,0.141159102097584,-0.102382763325236
"AKAP12",-0.480705851979773,-0.724021724133043,0.411698468605568,-0.474321570698955
"AKR1B15",-0.0261941128547878,-0.0261941128547878,0.544808591575363,-0.0261941128547878
"AKR1C6P",-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601
"ALAS2",-0.00934040554222965,-0.264023354709153,0.1846769263231,-0.28680029638992
"ALDH1A1",-0.433484927322502,-0.239741754764161,-0.742993009954792,-0.749281320436348
"ALDH1A2",-0.424577151204373,-0.406380731270849,-0.442957351354411,-0.442957351354411
"ALDH3A1",-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278
"ALOX12B",0.0831038400379343,0.0211778095680395,-0.0629718393706684,-0.0629718393706684
"ALOX15",0.380435187460646,0.0211038285976374,-0.21293640860241,-0.21293640860241
"ALOX5AP",-0.00864517487425703,-0.246982322893558,0.280543549848979,0.388355900151688
"ALPK1",0.156171457094069,-0.159853066107982,-0.19041940694335,-0.0185261653506608
"FLACC1",-0.137599381632742,0.36865474075173,-0.137599381632742,-0.137599381632742
"JAML",-0.271437749716671,-0.281071845541082,-0.281071845541082,-0.281071845541082
"AMPD1",-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478
"ANGPT1",-0.435521480851919,-0.334318450836435,0.222771103342574,-0.524730138185929
"ANGPT2",-0.152497090300688,-0.277192179424747,-0.248891481024983,-0.296042326960488
"ANGPTL1",0.282847714080439,0.222342764079582,0.181995026629405,0.740645622743207
"ANGPTL4",-0.0263486298945502,-0.232313683804251,1.86375873712422,0.03164279426501
"ANK1",-0.16931670404394,-0.16931670404394,-0.0476652739348691,-0.16931670404394
"ANKRD1",-0.0610789538304664,0.581252016689629,-0.0610789538304664,-0.0610789538304664
"ANKRD19P",-0.146942070831422,-0.114567854387474,-0.146942070831422,0.0815108827424698
"ANKRD34C",-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247
"ANKRD50",-0.186407912697512,-0.00235223784387755,0.785148759770119,-0.140767923137901
"ANKRD9",0.214802801112551,-0.132870054672532,0.133637056405437,0.0785428488300155
"ANKS4B",0.27894168001475,0.0704008848491399,-0.0450935973180918,0.241909076890997
"ANLN",-0.22340272183783,-0.225791754491943,0.073503231800612,-0.0735823616221954
"ANXA1",-0.503712721960504,-0.468088015479359,-0.629066444233909,-0.487839399152501
"ANXA2",-0.173241980034284,-0.206804990590197,0.0273141912225598,0.0331208199810516
"ANXA2R",0.0799555965097612,-0.125853363643615,-0.125853363643615,-0.114209209708845
"ANXA3",-0.133283068684344,-0.153835194979808,-0.284805712766358,-0.284805712766358
"APBB1IP",-0.226054389316592,-0.226054389316592,-0.226054389316592,-0.0572709449399973
"APBB2",-0.225061632385045,-0.443257945432497,-0.204009767089807,0.22206100456703
"APCDD1L-DT",0.0343069891523947,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822
"APLNR",-0.0163620824938772,-0.0994034522228602,-0.189601963616464,-0.189601963616464
"APOA2",-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795
"APOBEC3A",-0.0463968680891765,-0.11218907269889,0.0257409196015899,-0.11218907269889
"APOBEC3D",-0.115605709016721,0.318917210941588,-0.115605709016721,-0.0868370254967819
"APOBR",-0.164579104636091,-0.164579104636091,-0.164579104636091,0.0134770679316877
"APOC1",-0.283312320179857,-0.300885676135144,0.918840256697822,-0.308208009137625
"APOD",-0.420548469522495,-0.42572300666208,0.397018110863937,0.30479693427274
"APOE",-0.300438376465161,-0.273329234043378,0.509007936035711,-0.0729075279693035
"APOLD1",-0.0502849606742387,0.770103113016791,0.0432072168522738,-0.2623352213672
"AQP1",-0.106684788860242,-0.106684788860242,3.77758026166987,0.182077633678622
"AQP4",-0.102596097870496,-0.102596097870496,1.05012479198201,0.926057737958741
"ARFIP2",0.204263737866512,-0.0549796700353967,-0.284615391017471,-0.178675305777911
"ARG2",-0.603537154304728,-0.551790175927526,-0.621201744075318,-0.523117177595847
"ARHGAP11A",0.0337221767169361,-0.152841255941586,-0.111724227568451,-0.14250951360041
"ARHGAP11B",-0.104643324945844,-0.104643324945844,-0.104643324945844,-0.104643324945844
