"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints11","timepoints13"
"CENPM",2.70031412218535,2.6991386785517,2.7835868556279,3.15617726895696,3.30101106836625,0.532506655481322,3.98311898952098,0.586972175485151
"CENPN",2.84842778239619,2.62774557336584,0.958490305023618,1.7326474334942,1.96862341781914,1.86044627089838,4.18952700846666,1.4402278016467
"CENPU",2.90716176758144,2.63179286632615,2.59826881732944,1.03108983667322,2.23998173618463,3.59772082640998,1.98454517730019,1.40759528368938
"CENPW",1.88340691194947,2.12296741327393,1.43594722261648,1.5951600634379,1.40658031491115,1.34108756029338,2.0209509448804,0.412191845915256
"CEP295NL",-0.0423112930011351,-0.0423112930011351,-0.0423112930011351,-0.0423112930011351,-0.0423112930011351,-0.0423112930011351,-0.0423112930011351,-0.0423112930011351
"CEP55",0.659439671550276,0.0728071471539535,0.201690873649511,2.25498486667035,1.43663710814062,-0.121175702611515,2.71143962759253,4.94878094498866
"CETP",-0.12488256438267,-0.159459136962369,-0.142977326027733,-0.0833513706462573,-0.163956898718832,-0.163956898718832,-0.132086990776927,-0.163956898718832
"CFH",-0.186393215863592,-0.189270941749551,0.0491795660576805,-0.203480602491054,-0.203480602491054,-0.203480602491054,-0.203480602491054,-0.203480602491054
"CFP",-0.151085227814675,-0.135809488874404,-0.0891435563354927,-0.168640825145904,-0.168640825145904,-0.168640825145904,-0.168640825145904,-0.168640825145904
"CGA",-1.30694016217826,-1.06827840259008,0.0335841614024008,0.878636993266683,-0.554765120442813,-0.443978597797145,0.113909756182356,0.576656347090681
"CGB3",-0.144998596712281,-0.144998596712281,-0.144998596712281,0.0118426624506086,-0.144998596712281,-0.144998596712281,-0.144998596712281,-0.144998596712281
"CGB7",-0.123547723603533,-0.123547723603533,-0.123547723603533,-0.0170975479206178,-0.123547723603533,-0.123547723603533,-0.123547723603533,-0.123547723603533
"CGB8",-0.0661886595178458,-0.0661886595178458,-0.0661886595178458,-0.0661886595178458,-0.0661886595178458,-0.0661886595178458,-0.0661886595178458,-0.0661886595178458
"CH25H",-0.136600348095704,-0.0527402907164995,-0.136600348095704,-0.136600348095704,-0.136600348095704,-0.136600348095704,-0.098776652248597,-0.136600348095704
