"","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints7","timepoints9","timepoints10","timepoints11","timepoints12","timepoints13","timepoints14","timepoints15"
"S100B",-0.171315453359219,-0.1840113707278,-0.217879196234653,-0.199387930762658,-0.187921859816809,-0.226408047800501,-0.0894884438022765,-0.182489448858548,-0.134749612469048,-0.201900106000868,-0.171922391366715,-0.188419522305278,-0.207876850246466
"S100P",-0.128193345597059,-0.128193345597059,-0.0341632935558813,-0.128193345597059,-0.128193345597059,0.0392049618138741,-0.0757086007299381,-0.0837025036451011,-0.128193345597059,-0.0919078761954418,-0.00427194628045472,-0.102238746611118,-0.0216406910584213
"S1PR1",-0.266445522410275,-0.189643450534508,-0.235058267817187,-0.266445522410275,-0.257254755263107,-0.266445522410275,-0.216194204126664,-0.219345693852863,-0.232853070159879,-0.249207931031005,-0.217773575365221,-0.147933838195517,-0.251328339536751
"S1PR4",-0.0984292324439552,-0.0984292324439552,-0.0984292324439552,-0.0984292324439552,-0.0984292324439552,-0.0984292324439552,-0.0910147919135101,-0.0487691596294673,-0.0984292324439552,0.00995820610741579,-0.0851762643002346,0.0141560754067887,-0.0984292324439552
"SAA1",-0.0641494263791198,-0.0641494263791198,-0.0641494263791198,-0.0641494263791198,-0.0641494263791198,-0.0641494263791198,-0.0641494263791198,-0.0641494263791198,-0.0641494263791198,-0.0442364238971012,-0.0641494263791198,-0.0641494263791198,-0.0415547651232749
"SAMSN1",-0.245133659686967,-0.179009473454976,-0.205329469171076,-0.235004011120486,-0.26645429705086,-0.218342090227039,-0.223062902975088,-0.222805887339033,-0.0316716971452751,-0.255623850164682,-0.202861584649147,-0.237260935988444,-0.233347625873212
"SBNO2",-0.118597863792543,-0.0694527972223435,-0.11375106431893,-0.0445339846083169,-0.110001042882558,0.137799159345581,0.0420723432395569,-0.012131292161909,-0.212736348659215,-0.0949972714683946,-0.125394633379968,0.392363910092645,-0.087622173096623
"SCAMP5",-0.103313874225778,-0.0522329933076064,0.526225000095748,-0.254898449548296,-0.0101626823303011,0.831253874125157,0.0679862066842563,0.386940897758127,0.0325229679561277,0.656447116465455,-0.00725500323495771,0.119828660485644,0.364309773861893
"SCARA5",-0.29491042567381,-0.33115806088695,-0.211413607895092,-0.33115806088695,-0.33115806088695,-0.314008934834638,-0.271492494289511,-0.315937838476182,-0.303088019443647,-0.326119344520931,-0.303229425619626,-0.284999777604329,-0.33115806088695
"SCARNA10",-0.052694294664923,-0.052694294664923,-0.052694294664923,0.0632687410959814,0.0183287933573638,-0.052694294664923,-0.00962739086922186,-0.052694294664923,-0.052694294664923,-0.052694294664923,-0.052694294664923,-0.052694294664923,-0.052694294664923
"SCARNA21",0.277954572256885,-0.079602949455626,-0.079602949455626,-0.0289407865969337,-0.079602949455626,-0.079602949455626,-0.079602949455626,-0.079602949455626,-0.079602949455626,-0.079602949455626,-0.079602949455626,-0.079602949455626,-0.079602949455626
"SCARNA9L",-0.0752325027716475,0.191356211621098,-0.0752325027716475,-0.0752325027716475,-0.0752325027716475,-0.0752325027716475,0.284807498399326,-0.0752325027716475,-0.0752325027716475,0.00178480454470494,-0.0752325027716475,-0.0752325027716475,-0.0752325027716475
"SCG2",-0.175263272220897,0.0255496196973449,0.244592500084947,0.261462949189466,0.0572324970965549,0.296264505625198,0.508465309907068,0.70968108752412,0.347074017378056,0.76303673479899,0.28651274493812,0.605212184700159,0.418340842397887
"SGCG",1.19784422128257,1.62761011660325,1.23171402333907,0.835756188846276,0.911539697927644,1.00994122501146,0.860087853351575,1.22930845944749,1.03159829583376,0.924902240468078,0.646582032936838,0.891390195070093,0.600060162231678
"SCG5",0.655930348809406,0.52667131765639,0.649503613647671,0.713370525635942,0.479144923505339,0.474893710323715,0.688629823471016,0.880827412800841,0.768011043014051,1.14233877776841,1.01011862980684,0.942021241382291,0.916409898857812
"SCGB2A1",-0.108361633605455,0.097031238434159,0.285262403240756,0.16052300405182,0.300160936734094,0.0255574192882404,0.323913896017647,0.11333599648515,-0.346785707969399,0.395387851274726,0.426130156029795,0.314928655926014,0.59313513559521
"SCGB3A1",-0.197059257403981,-0.205229210788122,0.144905194566173,-0.193820942059,-0.171548485329881,0.107639215051244,-0.0851294983186928,-0.191653251302361,-0.205229210788122,-0.0971161709486728,-0.138391251761041,-0.027761727041331,-0.158100658563799
"SCIMP",-0.135061763483198,-0.179253142274198,-0.179253142274198,-0.156052988969473,-0.16220032083001,-0.179253142274198,-0.179253142274198,-0.106047884120382,-0.179253142274198,-0.143272239082723,-0.1675545437691,-0.150913800652294,-0.158709822325004
"SCIN",-0.184208961937757,-0.184208961937757,0.204515778940878,-0.0339325583457835,-0.184208961937757,-0.117458136469281,-0.0532547578246327,-0.171865781118193,-0.184208961937757,-0.142583591433746,-0.154677307637651,0.0132431028828324,-0.15388930954381
"SCN3A",-0.1771966306766,-0.156964469401485,0.287763142435984,0.608476996046432,0.0212297788538573,0.217522031860595,0.362311997706977,0.469194560144107,-0.133863113679284,0.315766301047086,0.53551054798679,0.0388262397496918,0.529612928868116
"SCN4B",-0.121913583951689,-0.121913583951689,-0.121913583951689,-0.121913583951689,-0.121913583951689,-0.121913583951689,-0.0653577811465255,-0.121913583951689,-0.121913583951689,-0.117589804260167,-0.117869771379562,-0.0464889395921621,-0.116108369435455
"SCNN1B",-0.0792227398212193,-0.0792227398212193,0.128048069736422,-0.0792227398212193,-0.0792227398212193,0.640721741594582,0.0633936230109013,0.730149243833428,-0.0792227398212193,0.166640145715945,0.0424546803846986,-0.0792227398212193,0.00827856407111066
"SCNN1G",0.264848650107095,-0.110009788166029,0.0772205780211714,0.0275385118192669,0.52198934272344,-0.110009788166029,-0.110009788166029,0.828242840441104,-0.110009788166029,0.277823087665607,0.228804932091744,0.0689483669730174,0.0940357996375804
"SCRG1",-0.111000400551718,-0.111000400551718,-0.111000400551718,-0.111000400551718,-0.111000400551718,-0.111000400551718,-0.1004928445847,-0.07934488778048,-0.111000400551718,-0.111000400551718,-0.0763301104093489,-0.111000400551718,-0.0980815409881392
"SCT",-0.179610649115662,-0.0950593199165587,0.713272291957197,-0.190787607856514,0.187841922912832,-0.0556164640603555,-0.190787607856514,0.0317911449940378,0.302502540026506,-0.075638802910397,-0.15965649997746,0.0333263118203922,-0.1564786547209
"SDF2L1",0.28551684103719,0.450437330959027,0.409711565565123,-0.0376955965758946,-0.0994089544782514,0.265505864221964,0.213443516901971,0.755008710193574,-0.231518540354635,0.529246367621758,0.429564318605572,0.582019022451599,0.210425572369336
"CAVIN2",-0.226815579375106,0.00430493052689115,-0.138743040580895,-0.226815579375106,-0.199786485758091,-0.226815579375106,-0.168293159382174,-0.174808432048153,-0.226815579375106,-0.220097118075237,-0.166209268531921,-0.22326239655286,-0.197768172306852
"SEC11C",1.40641784767642,1.26918189998577,1.18263501365813,1.19939446781157,1.11628477370437,0.75784406628997,1.37168632201132,1.25461569769861,0.764084084276384,1.3333363716039,0.95465084281551,1.12924826010009,0.928638358127044
"SECTM1",-0.154051008652649,-0.154051008652649,-0.14432026785476,-0.154051008652649,-0.154051008652649,-0.154051008652649,-0.0403288103804711,-0.122715754821902,-0.154051008652649,-0.142126968669417,-0.149677585956444,-0.122443038970454,-0.120673731184411
"SELE",-0.0689383177057393,0.746053433142318,-0.0535245341686792,-0.0689383177057393,0.0649670978938698,-0.0689383177057393,-0.0689383177057393,-0.0342865568042352,-0.0689383177057393,-0.0689383177057393,-0.0689383177057393,-0.0689383177057393,-0.0689383177057393
"SELENBP1",-0.305343305328785,-0.213517487799616,-0.285235324734586,-0.37249634329977,-0.26665813097462,-0.359751916291758,-0.303419563208951,-0.34657112507776,-0.354164305714215,-0.354247823989657,-0.288727590904165,-0.0200257659144155,-0.332021676473943
"SELL",-0.253287796962458,-0.261398932656167,-0.248253543846249,-0.249033823954176,-0.237717970774348,-0.261398932656167,-0.254936936354408,-0.227050312420374,-0.201723649295962,-0.185360008028431,-0.221400671293743,-0.0649416806845742,-0.239954297697497
"SELENOM",-0.559234371060319,-0.541515450350137,-0.14607936622471,0.328168388426233,0.0634035721447626,0.612327407906683,0.672973659163604,1.02171813646233,1.07873471040814,1.21939994646246,0.632402883861685,0.868311010386479,1.0950671024788
"SELPLG",-0.18378322980231,-0.18378322980231,-0.18378322980231,-0.168294727889191,-0.18378322980231,-0.14651117591143,-0.166331508526684,-0.166983495180961,-0.18378322980231,-0.12744839572624,-0.127048648134474,-0.142922872951201,-0.171419321865032
"SELENOV",-0.0815585279920331,-0.0343518855101288,-0.0815585279920331,0.000926587408363242,-0.0815585279920331,-0.0815585279920331,-0.0625904094337578,-0.062070735162404,-0.0815585279920331,-0.0815585279920331,-0.0686502484240296,-0.0815585279920331,-0.0815585279920331
"SEMA3C",-0.160033592415337,-0.179190146244916,0.0696891864663981,-0.179190146244916,-0.179190146244916,0.301877244217548,-0.14105399994051,-0.136810224736024,0.232745229029556,-0.144256599750051,-0.0768781408883315,-0.102637102850664,-0.118827761037191
