"UNIPROT","SYMBOL","ENSEMBL","ENTREZID","GENETYPE"
"O43390","HNRNPR","ENSG00000125944","10236","protein-coding"
"O43390","HNRNPR","ENSG00000282958","10236","protein-coding"
"Q9UPT8","ZC3H4","ENSG00000130749","23211","protein-coding"
"Q9HCJ0","TNRC6C","ENSG00000078687","57690","protein-coding"
"Q96JJ6","JPH4","ENSG00000092051","84502","protein-coding"
"O75190","DNAJB6","ENSG00000105993","10049","protein-coding"
"Q8WYR4","RSPH1","ENSG00000160188","89765","protein-coding"
"P55795","HNRNPH2","ENSG00000126945","3188","protein-coding"
"Q9NQ76","MEPE","ENSG00000152595","56955","protein-coding"
"P67809","YBX1","ENSG00000065978","4904","protein-coding"
"P08621","SNRNP70","ENSG00000104852","6625","protein-coding"
"Q5BKZ1","ZNF326","ENSG00000162664","284695","protein-coding"
"Q5BIV9","SPRN","ENSG00000203772","503542","protein-coding"
"Q15517","CDSN","ENSG00000204539","1041","protein-coding"
"Q15517","CDSN","ENSG00000237123","1041","protein-coding"
"Q15517","CDSN","ENSG00000237165","1041","protein-coding"
"Q15517","CDSN","ENSG00000206460","1041","protein-coding"
"Q15517","CDSN","ENSG00000237114","1041","protein-coding"
"Q15517","CDSN","ENSG00000137197","1041","protein-coding"
"Q9Y3E1","HDGFL3","ENSG00000166503","50810","protein-coding"
"Q12816","TRO","ENSG00000067445","7216","protein-coding"
"A6NDE4","RBMY1B","ENSG00000242875","378948","protein-coding"
"Q8WXS5","CACNG8","ENSG00000142408","59283","protein-coding"
"Q5H9L2","TCEAL5","ENSG00000204065","340543","protein-coding"
"Q96NY7","CLIC6","ENSG00000159212","54102","protein-coding"
"P09038","FGF2","ENSG00000138685","2247","protein-coding"
"P0DJD3","RBMY1A1","ENSG00000234414","5940","protein-coding"
"P0DJD3","RBMY1D","ENSG00000244395","378949","protein-coding"
"P0C7P1","RBMY1D","ENSG00000244395","378949","protein-coding"
"Q15532","SS18","ENSG00000141380","6760","protein-coding"
"A6NEQ0","RBMY1E","ENSG00000242389","378950","protein-coding"
"Q15415","RBMY1F","ENSG00000169800","159163","protein-coding"
"Q15415","RBMY1J","ENSG00000226941","378951","protein-coding"
"Q701N2","KRTAP5-5","ENSG00000185940","439915","protein-coding"
"Q701N2","KRTAP5-5","ENSG00000277291","439915","protein-coding"
"Q701N2","KRTAP5-5","ENSG00000278302","439915","protein-coding"
"Q8IUC3","KRTAP7-1","ENSG00000274749","337878","protein-coding"
"Q8NHW3","MAFA","ENSG00000182759","389692","protein-coding"
"Q13595","TRA2A","ENSG00000164548","29896","protein-coding"
"P04156","PRNP","ENSG00000171867","5621","protein-coding"
"Q0VD83","APOBR","ENSG00000184730","55911","protein-coding"
"P21333","FLNA","ENSG00000196924","2316","protein-coding"
"P09430","TNP1","ENSG00000118245","7141","protein-coding"
"Q9NWH9","SLTM","ENSG00000137776","79811","protein-coding"
"P78332","RBM6","ENSG00000004534","10180","protein-coding"
"A6NMZ7","COL6A6","ENSG00000206384","131873","protein-coding"
"Q9BUJ2","HNRNPUL1","ENSG00000105323","11100","protein-coding"
"Q06945","SOX4","ENSG00000124766","6659","protein-coding"
"O14979","HNRNPDL","ENSG00000152795","9987","protein-coding"
"Q13427","PPIG","ENSG00000138398","9360","protein-coding"
"Q9Y4Z0","LSM4","ENSG00000130520","25804","protein-coding"
"Q8ND56","LSM14A","ENSG00000257103","26065","protein-coding"
"Q8ND56","LSM14A","ENSG00000262860","26065","protein-coding"
"A8TX70","COL6A5","ENSG00000172752","256076","protein-coding"
"Q15672","TWIST1","ENSG00000122691","7291","protein-coding"
"Q6L8G5","KRTAP5-10","ENSG00000204572","387273","protein-coding"
"O15523","DDX3Y","ENSG00000067048","8653","protein-coding"
"O75973","C1QL1","ENSG00000131094","10882","protein-coding"
"Q86XP3","DDX42","ENSG00000198231","11325","protein-coding"
"Q02383","SEMG2","ENSG00000124157","6407","protein-coding"
"Q14315","FLNC","ENSG00000128591","2318","protein-coding"
"P21815","IBSP","ENSG00000029559","3381","protein-coding"
"Q13148","TARDBP","ENSG00000120948","23435","protein-coding"
"Q8IUC2","KRTAP8-1","ENSG00000183640","337879","protein-coding"
"Q9UGU0","TCF20","ENSG00000100207","6942","protein-coding"
"Q9UGU0","TCF20","ENSG00000262024","6942","protein-coding"
"Q9UGU0","TCF20","ENSG00000276461","6942","protein-coding"
"Q9UGU0","TCF20","ENSG00000280467","6942","protein-coding"
"Q9UGU0","TCF20","ENSG00000283026","6942","protein-coding"
"Q9UGU0","TCF20","ENSG00000282892","6942","protein-coding"
"Q9UGU0","TCF20","ENSG00000281897","6942","protein-coding"
"Q9UGU0","TCF20","ENSG00000283681","6942","protein-coding"
"Q96F45","ZNF503","ENSG00000165655","84858","protein-coding"
