"","pearson","gene","cluster"
"1132",0.92,"SLCO1C1",3
"1302",0.92,"ZNF324B",3
"262",0.91,"CLDN10",3
"452",0.91,"EFNA2",3
"1511",0.9,"C3",3
"332",0.9,"COX4I2",3
"972",0.9,"PPP1R1C",3
"1013",0.9,"RAPGEF5",3
"1092",0.9,"SCARA5",3
"1272",0.9,"VIPR1",3
"1313",0.9,"ZNF683",3
"732",0.89,"LIN28B",3
"1212",0.88,"BATF3",3
"182",0.88,"CCDC170",3
"352",0.88,"CRYGD",3
"1142",0.88,"SLCO2B1",3
"1202",0.88,"STPG2-AS1",3
"522",0.87,"GNAI2",3
"1072",0.87,"S100A8",3
"442",0.86,"EDN1",3
"612",0.85,"ANGPT2",3
"813",0.85,"APCDD1L-DT",3
"632",0.85,"JAKMIP2-AS1",3
"672",0.85,"LCN2",3
"892",0.85,"PARVG",3
"1042",0.85,"RETN",3
"1052",0.85,"RHCE",3
"1082",0.85,"S100A9",3
"169",0.84,"ABHD17C",3
"512",0.84,"GJB7",3
"882",0.84,"P2RY12",3
"582",0.83,"GYPE",3
"432",0.82,"DPT",3
"913",0.81,"PEG10",3
"982",0.81,"PRPH",3
"392",0.8,"CXXC1",3
"1113",0.79,"ATOH7",3
"402",0.79,"CYTH4",3
"932",0.78,"PLCE1",3
"1342",0.77,"ZNF852",3
"513",0.76,"ALOX5AP",3
"292",0.74,"COL12A1",3
"1322",0.74,"ZNF808",3
"1162",0.73,"SMAD5-AS1",3
"1232",0.72,"TASL",3
"413",0.71,"DDC",3
"1032",0.71,"RCN3",3
"362",0.67,"CSTA",3
"852",0.67,"NRTN",3
"372",0.66,"CXCL10",3
"613",0.64,"HCST",3
"822",0.64,"NID2",3
"1222",0.64,"SYK",3
"713",0.62,"ANKRD50",3
"602",0.62,"HBG1",3
"782",0.62,"LYVE1",3
"1192",0.6,"STAM-AS1",3
"382",0.59,"CXCL14",3
"792",0.55,"MCFD2",3
"952",0.53,"POU2F2",3
"1610",0.51,"CADM2",3
"1213",0.39,"STX2",3
"170",0.98,"ABCG2",4
"914",0.98,"CCR1",4
"314",0.97,"APOE",4
"1014",0.97,"CD1D",4
"223",0.97,"FAM83D",4
"433",0.97,"PLXNA1",4
"473",0.97,"RNASE2",4
"193",0.96,"COL4A1",4
"323",0.96,"JAML",4
"353",0.96,"LIX1",4
"283",0.95,"IL10RA",4
"423",0.95,"PLEK",4
"514",0.94,"SLC1A3",4
"553",0.94,"TNFSF10",4
"1214",0.93,"CD37",4
"214",0.92,"CTSS",4
"343",0.92,"LGALS9",4
"563",0.91,"TNNI2",4
"1412",0.88,"CD82",4
"173",0.88,"COL15A1",4
"183",0.87,"COL1A1",4
"253",0.87,"GRK5",4
"403",0.87,"NFKBIZ",4
"215",0.86,"ALDH1A1",4
"414",0.86,"ARHGAP11A",4
"614",0.86,"BUB1B",4
"493",0.86,"SAMSN1",4
"593",0.85,"TTC9",4
"373",0.84,"MMP9",4
"393",0.84,"MSR1",4
"814",0.83,"CCL4",4
"315",0.83,"ITGAX",4
"643",0.83,"ZNF791",4
"233",0.82,"FBLL1",4
"243",0.81,"G0S2",4
"303",0.81,"ITGAV",4
"463",0.8,"RGS1",4
"533",0.79,"TIMP3",4
"1314",0.77,"CD40",4
"273",0.76,"HMGA1",4
"453",0.75,"RBP4",4
"523",0.75,"SLC26A2",4
"633",0.75,"ZFP36",4
"483",0.74,"S100A10",4
"1114",0.73,"CD300E",4
"263",0.72,"HLA-DMA",4
"363",0.71,"LY6E",4
"515",0.7,"BUB1",4
"1611",0.7,"CENPU",4
"503",0.7,"SGK1",4
"543",0.7,"TM4SF1",4
"1512",0.69,"CENPN",4
"603",0.69,"TUBA1C",4
"383",0.66,"MNS1",4
"623",0.66,"XAF1",4
"293",0.64,"ITGAL",4
"415",0.62,"PLAU",4
"573",0.61,"TPPP3",4
"615",0.61,"VSIR",4
"714",0.59,"CCDC69",4
"583",0.58,"TRDN",4
"203",0.52,"CR1L",4
"333",0.49,"LAPTM5",4
"443",0.4,"PON3",4
"216",1,"ABCC13",5
"316",1,"ACTG2",5
"815",1,"ATP5MGL",5
"1115",1,"BCAN",5
"1215",1,"BTNL2",5
"1315",1,"C17orf99",5
"1513",1,"C3orf80",5
"1612",1,"CABP5",5
"184",1,"CCL22",5
"194",1,"CD1A",5
"204",1,"CD70",5
"224",1,"CEBPB-AS1",5
"234",1,"CHRDL2",5
"244",1,"CHRNB4",5
"254",1,"CLEC1B",5
"264",1,"COL6A6",5
"284",1,"CSF1",5
"294",1,"CSNK1A1L",5
"317",1,"CYP2B7P",5
